,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
0,Rubbin Off The Paint,Rubbin Off The Paint,YBN Nahmir,2017-10-20,156057,0,0.721,0.000662,0.721,0.711,0.0,0.347,-9.294,0.293,107.998,5,Rap,English,2017
1,Plain Jane,Still Striving,A$AP Ferg,2017-08-18,173600,76,0.797,0.0651,0.797,0.844,0.0,0.087,-5.482,0.275,170.142,4,Rap,English,2017
2,Ghostface Killers,Without Warning,21 Savage,2017-10-30,268933,72,0.782,0.331,0.782,0.436,1.3e-05,0.342,-7.033,0.155,82.994,4,Rap,English,2017
3,Ski Mask,Ski Mask,Smokepurpp,2017-05-12,164773,54,0.846,0.042,0.846,0.158,4.12e-05,0.0845,-18.191,0.419,139.98,4,Rap,English,2017
4,Slippery (feat. Gucci Mane),Culture,Migos,2017-01-27,304041,74,0.92,0.307,0.92,0.674,0.0,0.104,-5.662,0.264,141.967,4,Rap,English,2017
5,MotorSport,MotorSport,Migos,2017-10-27,307660,0,0.901,0.0519,0.901,0.529,0.0,0.179,-4.443,0.191,138.003,4,Rap,English,2017
6,The Race,#SantanaWorld,Tay-K,2017-07-17,140944,0,0.788,0.0168,0.788,0.533,0.0,0.204,-7.594,0.352,80.04,4,Rap,English,2017
7,Ric Flair Drip (& Metro Boomin),Without Warning,21 Savage,2017-10-30,172800,82,0.88,0.149,0.88,0.428,5.07e-05,0.114,-8.28,0.206,100.007,4,Rap,English,2017
8,rockstar,rockstar,Post Malone,2017-09-15,218320,4,0.577,0.13,0.577,0.522,9.03e-05,0.142,-6.594,0.0984,159.772,4,Rap,English,2017
9,Magnolia,Playboi Carti,Playboi Carti,2017-04-14,181812,0,0.795,0.0115,0.795,0.584,0.0,0.52,-7.322,0.29,163.005,4,Rap,English,2017
10,BUTTERFLY EFFECT,BUTTERFLY EFFECT,Travis Scott,2017-05-18,190677,3,0.763,0.0714,0.763,0.598,0.0,0.112,-6.865,0.0539,140.987,4,Rap,English,2017
11,wokeuplikethis*,Playboi Carti,Playboi Carti,2017-04-14,235535,1,0.785,0.0132,0.785,0.623,0.0,0.155,-6.755,0.257,78.467,4,Rap,English,2017
12,Curve (feat. The Weeknd),Curve (feat. The Weeknd),Gucci Mane,2017-09-13,161989,41,0.76,0.294,0.76,0.476,0.0,0.1,-8.103,0.241,147.01,4,Rap,English,2017
13,Poles 1469,A Love Letter To You,Trippie Redd,2017-05-14,149575,0,0.74,0.221,0.74,0.774,0.0,0.122,-3.835,0.0515,81.525,4,Rap,English,2017
14,Bank Account,Issa Album,21 Savage,2017-09-23,220306,79,0.884,0.0151,0.884,0.346,7.04e-06,0.0871,-8.228,0.351,75.016,4,Rap,English,2017
15,PICK IT UP (feat. A$AP Rocky),Pick It Up (feat. A$AP Rocky),Famous Dex,2017-10-20,191251,70,0.921,0.0149,0.921,0.467,0.000238,0.334,-8.443,0.119,135.995,4,Rap,English,2017
16,Patek Water (feat. Offset),SUPER SLIMEY,Future,2017-10-20,189480,60,0.86,0.274,0.86,0.561,0.0,0.108,-5.757,0.185,152.984,4,Rap,English,2017
17,Rap Saved Me,Without Warning,21 Savage,2017-10-30,257600,66,0.845,0.00525,0.845,0.399,0.74,0.102,-7.509,0.309,143.049,4,Rap,English,2017
18,Met Gala (feat. Offset),Droptopwop,Gucci Mane,2017-05-26,209142,64,0.817,0.052,0.817,0.587,0.00165,0.185,-6.502,0.108,140.062,4,Rap,English,2017
19,Gassed Up,Gassed Up,Nebu Kiniza,2016-08-26,193911,71,0.798,0.0213,0.798,0.568,0.0,0.0586,-9.072,0.135,148.88,3,Rap,English,2016
20,Mask Off,FUTURE,Future,2017-06-30,204600,81,0.833,0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,4,Rap,English,2017
21,Nasty (Who Dat) (feat. Migos),Still Striving,A$AP Ferg,2017-08-18,209813,53,0.661,0.0203,0.661,0.636,2.25e-05,0.378,-4.551,0.118,179.041,4,Rap,English,2017
22,I Get the Bag (feat. Migos),Mr. Davis,Gucci Mane,2017-10-13,233087,73,0.89,0.0232,0.89,0.633,0.000343,0.0993,-5.475,0.168,139.948,4,Rap,English,2017
23,Water,Water,Ugly God,2016-11-18,139674,55,0.8,0.66,0.8,0.297,0.000111,0.105,-13.1,0.407,140.051,4,Rap,English,2016
24,My Choppa Hate Niggas,Without Warning,21 Savage,2017-10-30,148640,64,0.862,0.0974,0.862,0.274,0.185,0.183,-5.818,0.484,77.493,4,Rap,English,2017
25,Bounce Back,I Decided.,Big Sean,2017-02-03,222360,0,0.684,0.11,0.684,0.549,0.0,0.125,-5.695,0.248,81.441,4,Rap,English,2017
26,Minute,Perfect Timing,NAV,2017-07-21,265373,0,0.68,0.0717,0.68,0.552,0.000106,0.462,-8.363,0.261,163.163,4,Rap,English,2017
27,Where Ya At (feat. Drake),DS2 (Deluxe),Future,2015-07-17,208026,67,0.813,0.0933,0.813,0.453,0.0,0.14,-6.941,0.338,161.997,4,Rap,English,2015
28,Jumpman,What A Time To Be Alive,Drake,2015-09-20,205879,0,0.853,0.0462,0.853,0.558,0.0,0.341,-7.448,0.202,142.079,4,Rap,English,2015
29,Bosses Don't Speak,Bosses Don't Speak,Quality Control,2017-12-08,241505,0,0.823,0.0457,0.823,0.487,0.0,0.107,-8.361,0.404,154.915,4,Rap,English,2017
30,Glock In My Benz,Glock In My Benz,Smokepurpp,2017-05-12,201720,0,0.691,0.0065,0.691,0.716,0.0,0.0446,-7.066,0.0552,77.246,4,Rap,English,2017
31,No Cap,SUPER SLIMEY,Future,2017-10-20,144142,57,0.8,0.00108,0.8,0.523,0.0,0.352,-6.578,0.107,147.057,4,Rap,English,2017
32,Nightmare,Without Warning,21 Savage,2017-10-30,147986,59,0.739,0.442,0.739,0.405,0.211,0.158,-10.897,0.0852,157.09,4,Rap,English,2017
33,Darth Vader,Without Warning,21 Savage,2017-10-30,228893,56,0.724,0.557,0.724,0.284,0.0175,0.121,-10.494,0.392,150.98,4,Rap,English,2017
34,Congratulations,Stoney,Post Malone,2016-12-09,220293,2,0.629,0.199,0.629,0.817,0.0,0.317,-4.261,0.0357,123.087,4,Rap,English,2016
35,Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,2017-01-27,343150,76,0.927,0.061,0.927,0.665,0.0,0.123,-5.313,0.244,127.076,4,Rap,English,2017
36,Gospel,Gospel,Rich Brian,2017-05-12,173294,1,0.681,0.000856,0.681,0.659,8.17e-06,0.11,-6.405,0.268,156.004,4,Rap,English,2017
37,Awful Things,"Come Over When You're Sober, Pt. 1",Lil Peep,2017-08-15,214426,75,0.368,0.0157,0.368,0.796,0.0,0.0694,-4.923,0.0823,170.033,4,Rap,English,2017
38,Disrespectful,Without Warning,21 Savage,2017-10-30,160320,58,0.799,0.354,0.799,0.381,3.12e-06,0.135,-7.147,0.464,158.021,4,Rap,English,2017
39,Sauce It Up,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,207038,70,0.813,0.0715,0.813,0.528,0.0,0.125,-6.305,0.313,79.532,4,Rap,English,2017
40,Run Up the Racks,Without Warning,21 Savage,2017-10-30,189800,56,0.825,0.141,0.825,0.364,0.311,0.195,-7.635,0.121,153.028,4,Rap,English,2017
41,Mad Stalkers,Without Warning,21 Savage,2017-10-30,202666,60,0.9,0.147,0.9,0.365,0.185,0.179,-6.395,0.235,135.003,4,Rap,English,2017
42,The Way Life Goes (feat. Oh Wonder),Luv Is Rage 2,Lil Uzi Vert,2017-08-25,221746,78,0.703,0.617,0.703,0.757,0.0,0.106,-3.612,0.05,82.008,4,Rap,English,2017
43,Wanted You (feat. Lil Uzi Vert),Wanted You (feat. Lil Uzi Vert),NAV,2017-11-03,228080,0,0.797,0.174,0.797,0.721,0.0,0.24,-4.912,0.0575,146.924,4,Rap,English,2017
44,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),The Bigger Artist,A Boogie Wit da Hoodie,2017-09-29,258158,63,0.611,0.035,0.611,0.478,0.0,0.107,-5.839,0.107,172.076,4,Rap,English,2017
45,Undefeated (feat. 21 Savage),The Bigger Artist,A Boogie Wit da Hoodie,2017-09-29,174012,56,0.717,0.293,0.717,0.753,0.0,0.158,-4.609,0.311,169.857,4,Rap,English,2017
46,Codeine Dreaming (feat. Lil Wayne),Project Baby 2: All Grown Up (Deluxe Edition),Kodak Black,2017-11-24,264531,69,0.736,0.0652,0.736,0.604,6.43e-05,0.124,-7.357,0.222,155.007,4,Rap,English,2017
47,Bust Down,A Love Letter To You 2,Trippie Redd,2017-10-06,245228,0,0.728,0.346,0.728,0.813,2.33e-05,0.147,-4.238,0.145,73.005,4,Rap,English,2017
48,Jumped Out the Whip (feat. A$AP Rocky),Mr. Davis,Gucci Mane,2017-10-13,216373,45,0.811,0.0694,0.811,0.46,0.0,0.13,-5.924,0.351,141.937,4,Rap,English,2017
49,Roll In Peace (feat. XXXTENTACION),Project Baby 2,Kodak Black,2017-08-18,213132,76,0.747,0.0306,0.747,0.524,0.0,0.2,-6.807,0.245,140.053,4,Rap,English,2017
50,Kelly Price (feat. Travis Scott),Culture,Migos,2017-01-27,363934,66,0.745,0.53,0.745,0.685,0.0,0.176,-5.7,0.0313,121.977,4,Rap,English,2017
51,Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti,2017-10-27,276333,71,0.91,0.022,0.91,0.444,0.0,0.137,-8.126,0.344,149.953,4,Rap,English,2017
52,Loyal,X (Deluxe Version),Chris Brown,2014-09-12,264946,2,0.845,0.0228,0.845,0.506,1.03e-06,0.0879,-5.971,0.0409,99.051,4,Rap,English,2014
53,What Do You Do (feat. NAV),Still Striving,A$AP Ferg,2017-08-18,176866,54,0.819,0.358,0.819,0.713,1.63e-05,0.0947,-5.623,0.304,152.016,4,Rap,English,2017
54,Bloodas,Bloodas,Tee Grizzley,2017-12-08,160000,37,0.817,0.00181,0.817,0.697,0.00011,0.107,-6.108,0.31,150.062,4,Rap,English,2017
